12	21298
33	30667
77	8447
42	31510
34	31265
32	30193
63	17383
112	1376
95	3036
128	743
67	14521
76	8963
40	32204
101	2334
65	15802
82	6363
13	25679
30	29530
23	21944
18	20593
19	19609
35	31414
21	19641
28	27135
29	28249
43	31425
55	23476
36	32087
64	16465
54	23948
53	25010
48	28339
44	30598
15	29314
60	19604
47	29176
31	29450
58	20898
56	22778
7	11587
1	10777
3	18913
4	17869
180	185
105	1791
93	3435
124	890
151	398
185	143
163	277
179	190
78	7732
70	12153
68	13534
46	29761
87	4685
22	20892
49	27623
52	25149
84	5590
6	11092
57	22001
83	5842
89	4201
11	17418
50	27040
71	11608
75	9327
41	31801
81	6751
62	17926
38	32016
69	12700
25	23978
10	14345
72	11040
2	13298
92	3648
61	18796
39	32233
59	20246
20	19201
17	23404
16	26346
45	29995
14	28993
79	7623
51	26566
37	31579
26	25179
97	2746
114	1298
150	351
135	567
66	14879
27	26461
24	23294
96	2780
5	11501
110	1491
9	12787
74	10037
73	10401
86	5097
8	11322
142	492
188	125
139	518
108	1631
104	2010
129	706
137	549
243	43
85	5268
80	7133
90	4048
88	4627
230	51
94	3226
181	175
197	127
109	1548
234	48
252	27
219	60
1056	2
103	2001
99	2460
117	1132
267	20
91	3862
116	1233
123	854
161	299
149	386
125	890
370	3
122	917
113	1339
241	39
198	105
111	1428
115	1185
168	272
194	130
199	121
232	56
193	129
250	23
269	18
976	6
1038	4
138	594
159	332
121	1006
147	416
195	111
146	439
100	2315
214	66
368	8
158	301
107	1584
134	635
227	52
145	464
118	1004
170	251
130	727
140	526
254	25
127	820
157	293
307	8
152	381
102	2194
141	476
98	2498
166	244
282	9
148	393
215	59
131	638
156	332
126	838
119	1085
120	951
106	1699
132	687
133	607
218	54
160	294
154	317
155	317
144	420
175	199
174	243
183	136
390	3
374	18
209	83
172	216
176	189
247	32
169	219
143	499
171	206
165	288
136	523
304	14
173	223
208	76
236	52
217	64
167	242
231	59
1044	2
233	44
205	73
284	16
1140	2
177	204
265	22
192	135
224	51
223	49
182	197
238	44
186	136
373	8
357	6
212	97
162	279
1117	2
164	227
210	78
337	5
207	76
221	54
226	59
283	10
272	11
153	356
235	57
204	90
225	56
211	59
240	36
206	79
271	17
202	113
201	100
189	150
203	85
310	12
281	11
187	139
178	154
248	32
256	36
191	113
229	53
237	52
259	28
190	139
216	82
309	7
255	20
293	9
276	18
184	177
264	16
213	76
244	48
196	108
246	32
291	16
306	17
268	17
335	2
239	46
331	8
408	1
372	8
378	7
279	12
398	3
315	11
228	49
222	55
296	6
257	28
375	6
258	19
261	14
363	2
278	9
1111	2
377	6
1028	2
1142	2
253	27
328	2
200	97
320	8
421	1
294	12
263	30
274	19
436	1
355	9
249	26
434	1
302	12
828	1
420	6
356	11
1123	2
270	13
260	21
245	27
324	8
251	35
1046	4
991	2
361	3
327	3
289	11
266	18
1068	4
1074	2
220	55
1019	2
242	40
395	6
303	7
999	2
351	6
966	2
386	8
1032	2
1043	4
393	6
339	6
262	16
277	5
1014	2
968	4
290	8
982	6
1015	2
280	8
1088	2
298	8
1047	6
371	6
329	5
336	10
381	9
365	10
974	4
286	9
456	5
297	5
404	2
317	6
450	2
314	10
367	9
330	3
295	12
380	8
387	6
981	2
299	8
1138	2
439	1
321	5
352	2
431	1
521	1
359	4
1011	2
343	4
305	9
354	3
1133	2
341	6
287	9
285	8
275	22
311	7
551	2
1053	2
347	2
358	8
523	2
1149	2
419	3
392	6
477	2
313	8
300	3
319	10
338	2
318	10
369	4
316	3
400	2
385	5
376	4
366	7
397	2
326	5
349	4
301	13
382	4
1041	4
325	6
1114	2
1039	2
273	11
986	2
379	8
1045	4
1116	2
979	2
1037	2
406	2
580	2
444	2
1101	2
292	5
350	2
438	2
503	3
658	1
457	3
492	1
423	1
742	1
424	3
344	4
422	2
452	1
435	1
622	1
428	1
418	1
467	1
345	2
332	4
463	1
425	2
446	2
402	4
478	1
401	3
383	7
362	2
1048	2
967	2
1012	2
972	2
1050	4
1093	2
384	5
1156	2
1130	2
1049	2
983	4
388	4
1070	2
288	8
949	2
334	2
342	1
645	1
323	2
322	1
1030	3
1020	2
353	2
308	1
312	6
538	2
360	4
584	2
348	4
468	1
552	1
1159	1
2511	2
412	4
651	2
5662	2
433	2
569	2
1035	2
504	2
413	4
1063	2
1115	2
1073	2
333	2
1062	2
1033	2
389	2
989	2
1113	2
346	3
969	2
340	2
630	1
440	1
546	1
1162	2
998	2
410	1
491	1
772	1
515	1
474	1
391	1
582	1
482	1
550	1
682	1
