2018-02-28, 14
2018-02-09, 17
2018-03-01, 31
2018-02-26, 12
2018-03-12, 4
2018-01-15, 51
2018-03-19, 15
2018-03-06, 42
2018-02-08, 52
2018-02-22, 18
2018-02-16, 7
2018-02-14, 34
2018-03-05, 34
2018-01-10, 33
2018-03-24, 24
2018-05-01, 25
2018-02-21, 17
2018-02-12, 4
2018-02-27, 14
2018-01-16, 25
2018-04-03, 12
2018-03-28, 68
2018-03-27, 26
2018-04-09, 16
2018-03-02, 5
2018-04-05, 17
2018-01-09, 29
2018-02-13, 6
2018-03-22, 16
2018-01-11, 25
2018-01-02, 18
2018-01-17, 14
2018-01-30, 18
2018-01-08, 30
2018-04-26, 23
2018-03-14, 6
2018-01-04, 10
2018-04-02, 26
2018-03-21, 40
2018-04-30, 21
2018-01-29, 11
2018-03-30, 5
2018-01-12, 16
2018-04-04, 28
2018-03-23, 32
2018-04-17, 6
2018-01-23, 5
2018-02-23, 5
2018-03-26, 11
2018-04-24, 16
2018-03-29, 25
2018-04-12, 5
2018-01-05, 13
2018-04-25, 32
2018-02-07, 2
2018-04-23, 4
2018-02-15, 18
2018-03-15, 8
2018-02-02, 4
2018-01-18, 4
2018-01-26, 12
2018-01-19, 3
2018-05-03, 55
2018-04-10, 10
2018-04-27, 19
2018-03-13, 3
2018-05-02, 42
2018-04-18, 4
2018-04-20, 5
2018-03-16, 4
2018-03-08, 4
2018-04-13, 8
2018-04-08, 8
2018-04-16, 5
2018-04-11, 4
2018-04-29, 4
2018-04-07, 2
2018-01-03, 8
2018-02-06, 1
2018-02-20, 6
2018-01-31, 9
2018-02-19, 9
2018-04-06, 6
2018-03-09, 8
2018-03-07, 5
2018-03-03, 1
2018-01-25, 4
2018-02-01, 1
2018-04-28, 5
2018-03-17, 1
2018-02-17, 1
2018-02-25, 2
2018-01-22, 10
2018-01-20, 1
2018-04-21, 1
2018-03-18, 1
2018-02-24, 1
2018-03-20, 2
2018-02-05, 1
2018-01-24, 1
2018-02-04, 1
2018-04-19, 1
2017-10-19, 11
2017-01-12, 14
2017-05-01, 26
2017-03-17, 16
2017-02-28, 22
2017-04-25, 94
2017-03-22, 16
2017-05-02, 5
2017-04-12, 51
2017-11-20, 16
2017-04-11, 45
2017-02-14, 16
2017-03-23, 34
2017-02-09, 34
2017-06-13, 35
2017-03-14, 11
2017-05-10, 28
2017-03-29, 4
2017-02-22, 40
2017-04-21, 43
2017-02-10, 5
2017-03-01, 36
2017-03-06, 30
2017-01-13, 14
2017-04-17, 11
2017-06-19, 6
2017-07-26, 26
2017-03-27, 14
2017-05-31, 17
2017-01-19, 12
2017-11-27, 13
2017-04-14, 22
2017-03-03, 26
2017-04-18, 27
2017-09-19, 16
2017-10-12, 13
2017-08-22, 12
2017-06-30, 12
2017-07-24, 13
2017-11-09, 15
2017-11-22, 20
2017-01-27, 9
2017-06-21, 48
2017-09-08, 17
2017-10-24, 19
2017-12-22, 2
2017-05-08, 12
2017-03-02, 27
2017-05-19, 1
2017-02-27, 17
2017-05-15, 14
2017-02-15, 30
2017-04-20, 36
2017-06-22, 22
2017-04-06, 36
2017-04-10, 26
2017-06-14, 19
2017-08-30, 15
2017-09-21, 22
2017-02-06, 14
2017-07-14, 16
2017-10-30, 15
2017-09-13, 11
2017-04-13, 35
2017-02-23, 12
2017-02-03, 14
2017-05-12, 24
2017-04-04, 9
2017-07-12, 5
2017-07-19, 13
2017-08-31, 21
2017-11-08, 13
2017-10-09, 23
2017-03-07, 56
2017-09-12, 4
2017-10-26, 2
2017-03-24, 36
2017-01-24, 30
2017-01-03, 16
2017-12-05, 23
2017-03-31, 24
2017-12-12, 14
2017-03-15, 30
2017-10-04, 4
2017-01-17, 46
2017-07-25, 13
2017-12-01, 30
2017-10-31, 8
2017-10-23, 2
2017-03-16, 34
2017-05-03, 15
2017-09-06, 26
2017-02-07, 29
2017-01-25, 31
2017-06-02, 2
2017-06-28, 26
2017-09-20, 12
2017-06-27, 10
2017-01-09, 89
2017-05-17, 14
2017-01-26, 21
2017-12-14, 14
2017-07-27, 1
2017-09-18, 15
2017-10-05, 16
2017-09-24, 2
2017-12-08, 8
2017-10-11, 18
2017-10-20, 21
2017-12-18, 12
2017-10-06, 7
2017-02-21, 5
2017-04-19, 38
2017-09-05, 11
2017-03-09, 13
2017-10-25, 26
2017-10-27, 6
2017-01-05, 16
2017-02-17, 12
2017-08-14, 22
2017-02-13, 15
2017-11-10, 2
2017-05-09, 26
2017-05-11, 24
2017-08-21, 18
2017-07-17, 10
2017-04-03, 6
2017-11-03, 4
2017-09-28, 14
2017-01-20, 16
2017-08-29, 28
2017-04-05, 74
2017-02-20, 3
2017-03-20, 16
2017-01-16, 12
2017-02-16, 27
2017-08-01, 12
2017-11-14, 17
2017-12-15, 7
2017-03-28, 27
2017-08-28, 24
2017-03-13, 6
2017-09-01, 5
2017-03-08, 18
2017-10-16, 2
2017-02-02, 14
2017-08-04, 1
2017-08-08, 1
2017-01-11, 15
2017-01-23, 29
2017-04-07, 11
2017-11-30, 26
2017-11-29, 29
2017-09-11, 7
2017-04-08, 1
2017-07-21, 2
2017-08-16, 10
2017-06-06, 10
2017-10-17, 13
2017-11-02, 6
2017-01-10, 14
2017-07-31, 8
2017-12-19, 6
2017-08-24, 12
2017-11-07, 1
2017-05-18, 12
2017-07-06, 2
2017-06-16, 8
2017-11-15, 8
2017-05-25, 2
2017-06-26, 14
2017-08-10, 13
2017-05-16, 14
2017-02-08, 14
2017-10-18, 15
2017-04-15, 2
2017-06-15, 2
2017-06-07, 2
2017-05-05, 11
2017-05-24, 1
2017-01-08, 14
2017-04-26, 6
2017-05-23, 10
2017-12-13, 10
2017-04-29, 1
2017-03-10, 6
2017-04-27, 18
2017-05-04, 12
2017-06-01, 13
2017-07-13, 13
2017-11-13, 13
2017-10-03, 10
2017-06-08, 2
2017-06-23, 2
2017-09-27, 7
2017-11-16, 4
2017-11-01, 2
2017-08-17, 5
2017-04-24, 4
2017-12-17, 3
2017-12-20, 5
2017-07-28, 2
2017-08-02, 6
2017-04-28, 5
2017-07-10, 1
2017-08-18, 2
2017-06-29, 3
2017-01-04, 8
2017-08-25, 3
2017-07-01, 3
2017-05-20, 2
2017-11-23, 2
2017-08-11, 10
2017-07-07, 1
2017-09-15, 3
2017-07-05, 1
2017-12-21, 1
2017-09-22, 12
2017-06-12, 4
2017-06-20, 4
2017-09-26, 4
2017-12-27, 2
2017-11-21, 2
2017-08-15, 4
2017-11-12, 1
2017-12-06, 4
2017-11-17, 6
2017-06-09, 3
2017-05-30, 1
2017-02-01, 1
2017-03-05, 2
2017-05-13, 2
2017-07-20, 6
2017-10-10, 3
2017-01-30, 2
2017-08-07, 1
2017-03-30, 2
2017-09-29, 3
2017-01-31, 1
2017-03-21, 2
